,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
58,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Rinx Real Entertainment Centre,43.71784220022086,-79.46223069665501,Event Space
59,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Ardene,43.71894162758098,-79.46388005195001,Accessories
60,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,International Clothiers,43.717997,-79.46672,Apparel
61,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Fairweather,43.71787829,-79.46724603,Women's Store
62,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Party City,43.71941805471303,-79.459316806156,Shop
63,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Lens Mills,43.71913704692334,-79.46196899954919,Arts & Crafts
64,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Gyros Gymnastics,43.71677614916025,-79.46167716204125,Athletics & Sports
65,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Le Château,43.71926903,-79.460276,Apparel
66,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Universal Lighting,43.7216845,-79.4663096,Furniture / Home
67,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Queen's Park,43.66394609897775,-79.39217952520835,Park
68,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian
69,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Neo Coffee Bar,43.66014,-79.38587,Coffee Shop
70,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Sushi Box,43.66295954544153,-79.38657996066198,Sushi
71,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Central YMCA,43.663083310067655,-79.38502493214878,Distributor
72,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Coffee Public,43.66076299149323,-79.38618409033066,Coffee Shop
73,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Creperie
74,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Bar Volo,43.66546184849369,-79.38569158315659,Beer Bar
75,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tokyo Sushi,43.665885330936845,-79.38697684868161,Sushi
76,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,The Yoga Sanctuary,43.661499497597596,-79.38363613350754,Yoga Studio
77,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Curry's Art Store Ltd.,43.66283810530193,-79.38373201352064,Arts & Crafts
78,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Burrito Bandidos,43.662962178169344,-79.38395554190546,Burritos
79,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Como En Casa,43.66516,-79.384796,Mexican
80,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,401 Games,43.663623277853254,-79.3840374323983,Hobbies
81,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Coach House Restaurant,43.66499059853204,-79.38481415727767,Diner
82,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
83,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Flock Rotisserie + Greens,43.659167,-79.389475,Fried Chicken
84,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Dollarama,43.66068,-79.38468,Discount Store
85,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Fran's,43.661255320138636,-79.38389304122866,Diner
86,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Coffee Shop
87,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
88,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
89,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,RBC Royal Bank,43.65933603842843,-79.38977326176165,Bank
90,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Subway,43.65897011920262,-79.3908742539673,Sandwiches
91,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
92,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
93,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857401,Gym
94,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
95,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966201,Bar
96,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,Auditorium
97,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tim Hortons,43.658175,-79.3906813,Coffee Shop
