,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
149,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kinton Ramen,43.66063169500672,-79.37887964897601,Food
150,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Elmwood Spa,43.657759234136705,-79.38258620521141,Shop & Service
151,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Elm Tree Restaurant,43.65739749535259,-79.38376054171512,Food
152,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,MUJI,43.656024,-79.383284,Shop & Service
153,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,LUSH,43.653557,-79.3804,Shop & Service
154,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Food
155,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,DAVIDsTEA,43.65521877547618,-79.38094518163426,Food
156,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Indigo,43.65351471121164,-79.38069591056922,Shop & Service
157,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,JOEY Eaton Centre,43.656093654082795,-79.38187792357715,Food
158,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Danish Pastry House,43.654574,-79.38074,Food
159,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,The 3 Brewers,43.655474284721,-79.38041324445061,Nightlife Spot
160,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Lake Devo,43.6569936860937,-79.37689788366987,Outdoors & Recreation
161,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Food
162,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,BMV Books,43.6570470610916,-79.3816606143166,Shop & Service
163,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Panera Bread,43.657107453274186,-79.38157439231874,Food
164,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Nightlife Spot
165,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,SEPHORA,43.653688,-79.38011999999999,Shop & Service
166,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,HomeSense,43.653053299999996,-79.37944959999999,Shop & Service
167,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,KAKA,43.65745745164475,-79.38419169987877,Food
168,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ethiopiques,43.656512743041546,-79.37707774884599,Food
169,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Red Lobster,43.656328,-79.38362099999999,Food
170,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,MAC Cosmetics,43.65405547492733,-79.38071368220903,Shop & Service
171,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Magic Tailor,43.653741582288646,-79.3797452388142,Shop & Service
172,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bourbon St. Grill,43.65513514101621,-79.3808225262395,Food
173,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Chatime 日出茶太,43.65554164147378,-79.38468427043243,Food
174,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Tangerine Café,43.65393690330819,-79.37972202364307,Shop & Service
175,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Food
176,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,College Park Area,43.659453000000006,-79.383785,Outdoors & Recreation
177,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672278,-79.37919981155156,Food
178,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Roots,43.65361341708363,-79.38024401664735,Shop & Service
179,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Food
180,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Trattoria Mercatto,43.654453144701996,-79.38097410756741,Food
181,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.656062872456424,-79.38369472446466,Food
182,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hollister Co.,43.65447966010221,-79.38091371769394,Shop & Service
183,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Duke's Refresher + Bar,43.658979856830356,-79.38294890507811,Nightlife Spot
184,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Hard Candy Fitness,43.65955618049781,-79.38244024080487,Outdoors & Recreation
185,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Coco Fresh Tea & Juice,43.65865989038909,-79.38204032226335,Food
186,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558369,Food
187,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Kabul Express,43.65669146835465,-79.37664313658586,Food
188,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Ryerson Square,43.65698842888605,-79.37689617296417,Outdoors & Recreation
189,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Food
190,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Marshalls,43.659308,-79.3824621,Shop & Service
191,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Katsuya,43.65986035759321,-79.37878806223506,Food
192,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Smoke's Poutinerie,43.65737935238092,-79.37345459540276,Food
193,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Food
194,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Fran's,43.65426474929814,-79.37912005538317,Food
195,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Bath & Body Works,43.654182471380004,-79.38094783233447,Professional & Other Places
196,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,GoodLife Fitness Toronto Bell Trinity Centre,43.653436,-79.38231400000001,Outdoors & Recreation
197,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,Victoria's Secret PINK,43.65335746417248,-79.3806734813237,Shop & Service
